From	Entry	Gene Names (primary)	Gene Ontology IDs
A6QLY2	A6QLY2	GPX7	GO:0004096; GO:0004601; GO:0004602; GO:0005576; GO:0005783; GO:0006979
A6QLY4	A6QLY4	ISOC1	GO:0005737
A7MBF6	A7MBF6	ARMH1	
A7RUD5	A7RUD5		GO:0005524; GO:0005829; GO:0016226; GO:0046872; GO:0051536; GO:0051539; GO:0140663
A7SMR0	A7SMR0		GO:0005634
A7Y2W8	A7Y2W8	slc6a9	GO:0005886; GO:0005887; GO:0006836; GO:0015375; GO:0060092
A7Y2X0	A7Y2X0	slc6a5	GO:0005886; GO:0006836; GO:0015375; GO:0016021; GO:0046872
A7YD35	A7YD35	dio3	GO:0004800; GO:0005886; GO:0010008; GO:0016021; GO:0033798; GO:0042446
A7Z061	A7Z061	CDC27	GO:0005634; GO:0005680; GO:0005737; GO:0005819; GO:0007091; GO:0016567; GO:0031145; GO:0045842; GO:0051301; GO:0070979
A8DYP0	A8DYP0	Unc-89	GO:0005085; GO:0005523; GO:0005524; GO:0006468; GO:0006936; GO:0007527; GO:0016301; GO:0019901; GO:0031430; GO:0036309; GO:0045214; GO:0046872; GO:0051015
A8HUA1	A8HUA1	CFAP58	GO:0005737; GO:0005930; GO:0031514; GO:0060285
A8MPX8	A8MPX8	PP2D1	GO:0004722; GO:0006470
A8MV24	A8MV24	C17orf98	
A8WH34	A8WH34	glmp-b	GO:0005764; GO:0005765; GO:0016021; GO:0050821; GO:0061462
A8XZB0	A8XZB0	mai-2	GO:0005739; GO:0006783; GO:0032780; GO:0042030; GO:0051117
B0BLS0	B0BLS0	Ost4	GO:0006487; GO:0008250; GO:0016021; GO:0018279
B0UXH9	B0UXH9	pierce1	GO:0003341; GO:0005634; GO:0005737; GO:0005879; GO:0007368; GO:0035082; GO:0061966
B1H116	B1H116	uck2	GO:0004849; GO:0005524; GO:0005737; GO:0005829; GO:0016310; GO:0043771; GO:0044206; GO:0044211
B2GV91	B2GV91	Lyrm2	
B2RW38	B2RW38	Cfap58	GO:0005737; GO:0005813; GO:0005856; GO:0007219; GO:0007288; GO:0030317; GO:0036126; GO:0060271; GO:0097225; GO:0120229; GO:0120316; GO:0120317
B2RX14	B2RX14	Tut4	GO:0001556; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0008270; GO:0010526; GO:0010586; GO:0010587; GO:0016779; GO:0019827; GO:0031054; GO:0031123; GO:0031664; GO:0032088; GO:0032755; GO:0035198; GO:0036464; GO:0050265; GO:0070102; GO:0070569; GO:0071076; GO:1990074
B3A0Q8	B3A0Q8		GO:0004601; GO:0005576; GO:0006979; GO:0020037
B3EWZ6	B3EWZ6		GO:0005576; GO:0016020
B3MFV7	B3MFV7	Cirl	GO:0004930; GO:0005886; GO:0007166; GO:0016021; GO:0030246
B4F6K2	B4F6K2	hagh	GO:0004416; GO:0005739; GO:0005759; GO:0006749; GO:0019243; GO:0046872
B4F777	B4F777	Hmgn5	GO:0000785; GO:0003682; GO:0005634; GO:0006325; GO:0031492
B5LUQ9	B5LUQ9		GO:0005576; GO:0006952
B5XB24	B5XB24	emc4	GO:0016021; GO:0030176; GO:0045050; GO:0071816; GO:0072546
B7LTA2	B7LTA2	ghrA	GO:0005737; GO:0005886; GO:0008465; GO:0016618; GO:0030267; GO:0051287
B8I6E7	B8I6E7	infB	GO:0003743; GO:0003924; GO:0005525; GO:0005737
B9EJI9	B9EJI9	Tmem229a	GO:0016021
C0HKW7	C0HKW7		GO:0005576; GO:0007218
C4A0P0	C4A0P0		GO:0005741; GO:0005789; GO:0010506; GO:0016021; GO:0046872; GO:0051537
C9JJ37	C9JJ37	BTBD19	
D0VWQ5	D0VWQ5	RPL19	GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0022625; GO:0042788; GO:0045202
D3YVL2	D3YVL2	Cfap70	GO:0003341; GO:0005930; GO:0031514; GO:0036064; GO:0036126; GO:0036157; GO:0060271
D3YXG0	D3YXG0	Hmcn1	GO:0005509; GO:0005576; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007049; GO:0007156; GO:0007157; GO:0009617; GO:0030054; GO:0032154; GO:0051301; GO:0062023; GO:0071711; GO:0090527
D3YXS5	D3YXS5	Kif28p	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007005; GO:0007018; GO:0008017; GO:0016887; GO:0031966; GO:0072384
D3ZDK7	D3ZDK7	Pgp	GO:0000121; GO:0000287; GO:0004725; GO:0005737; GO:0005829; GO:0006114; GO:0006650; GO:0008967; GO:0016311; GO:0016791; GO:0035335; GO:0043136; GO:0045721
D3ZR10	D3ZR10	Dcdc2	GO:0001764; GO:0005737; GO:0005815; GO:0005829; GO:0005856; GO:0005874; GO:0005929; GO:0005930; GO:0007605; GO:0008542; GO:0019228; GO:0019894; GO:0030111; GO:0034451; GO:0035249; GO:0035556; GO:0045202; GO:0045880; GO:0048813; GO:0060091; GO:0060271; GO:0072686; GO:1902017
D3ZVM4	D3ZVM4	Trim71	GO:0000082; GO:0000209; GO:0000932; GO:0001843; GO:0004842; GO:0008270; GO:0008543; GO:0010586; GO:0010608; GO:0016567; GO:0017148; GO:0021915; GO:0030371; GO:0035196; GO:0035198; GO:0035278; GO:0043161; GO:0051246; GO:0051865; GO:0060964; GO:0061158; GO:0061630; GO:0071310; GO:0072089; GO:2000177; GO:2000637
D4ACE5	D4ACE5	Intu	GO:0001736; GO:0005737; GO:0005814; GO:0005929; GO:0007224; GO:0007399; GO:0008589; GO:0009986; GO:0010839; GO:0016192; GO:0021513; GO:0021915; GO:0030216; GO:0030278; GO:0031069; GO:0031514; GO:0033365; GO:0035869; GO:0036064; GO:0042733; GO:0043587; GO:0044458; GO:0045880; GO:0051301; GO:0051782; GO:0060021; GO:0060173; GO:0060271; GO:1905515
E1BD59	E1BD59	TRIM56	GO:0000785; GO:0004842; GO:0005654; GO:0005737; GO:0008270; GO:0032728; GO:0034340; GO:0045087; GO:0045893; GO:0051607; GO:0061630; GO:0070534
E1BPK6	E1BPK6	MYO6	GO:0000146; GO:0001726; GO:0005516; GO:0005524; GO:0005634; GO:0005794; GO:0005829; GO:0005886; GO:0005902; GO:0005905; GO:0006897; GO:0007015; GO:0007605; GO:0015031; GO:0015629; GO:0016459; GO:0030050; GO:0030136; GO:0030139; GO:0030175; GO:0032587; GO:0042472; GO:0042491; GO:0048471; GO:0051015
E2QXF3	E2QXF3	RPL15	GO:0002181; GO:0003723; GO:0003735; GO:0016020; GO:0022625
E2RR58	E2RR58	RPL12	GO:0003735; GO:0006412; GO:0015934; GO:0022625; GO:0070180
E9Q7R9	E9Q7R9	Cfap43	GO:0003351; GO:0003356; GO:0005576; GO:0005930; GO:0007288; GO:0007420; GO:0030317; GO:0044458; GO:0051649; GO:0060271; GO:0090660; GO:0097729; GO:0120197
E9Q8T7	E9Q8T7	Dnah1	GO:0003341; GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005874; GO:0005930; GO:0007018; GO:0007288; GO:0008569; GO:0030286; GO:0030317; GO:0036126; GO:0036156; GO:0036159; GO:0045505; GO:0051959; GO:0060294
F1QMY1	F1QMY1	dynlt2b	GO:0005737; GO:0005868; GO:0005929; GO:0007018; GO:0035721; GO:0045505; GO:0120293
F7J220	F7J220	SRCR1	GO:0005044; GO:0006909; GO:0016021; GO:0030659; GO:0045087
F8WLE0	F8WLE0	Kif28p	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007005; GO:0007018; GO:0008017; GO:0016887; GO:0031966; GO:0072384
G1ESZ9	G1ESZ9		GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314
G5EER4	G5EER4	ger-1	GO:0016853; GO:0042350; GO:0042351; GO:0050577
H2LRU7	H2LRU7	pkd2	GO:0003127; GO:0005102; GO:0005245; GO:0005248; GO:0005261; GO:0005262; GO:0005267; GO:0005509; GO:0005789; GO:0005887; GO:0005929; GO:0015271; GO:0016020; GO:0016055; GO:0016323; GO:0030659; GO:0034703; GO:0034765; GO:0050982; GO:0051209; GO:0051262; GO:0051290; GO:0051371; GO:0060170; GO:0070588; GO:0071277; GO:0071805; GO:0098662; GO:0198738
J3SBP3	J3SBP3		GO:0003676; GO:0005576; GO:0043262; GO:0046872; GO:0090729
L0R819	L0R819	ASDURF	GO:0005737; GO:0050821; GO:1990062
M0R8U1	M0R8U1	Dnah5	GO:0003341; GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005737; GO:0005858; GO:0005874; GO:0005930; GO:0007018; GO:0007368; GO:0007507; GO:0008569; GO:0021670; GO:0030286; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060271; GO:0097728; GO:0097729
M9NDE3	M9NDE3	bark	GO:0005044; GO:0005912; GO:0005918; GO:0005923; GO:0016021; GO:0016328; GO:0030246; GO:0034976; GO:0035002; GO:0035159; GO:0045217; GO:0061689; GO:1904274
O00338	O00338	SULT1C2	GO:0004062; GO:0005737; GO:0005764; GO:0005829; GO:0008146; GO:0009308; GO:0051923
O00370	O00370		GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305
O01802	O01802	rpl-7	GO:0000463; GO:0003723; GO:0003735; GO:0022625
O02649	O02649	Hsp60A	GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0006457; GO:0007005; GO:0008637; GO:0016887; GO:0034514; GO:0034605; GO:0042026; GO:0045041; GO:0051087; GO:0140662
O03170	O03170	MT-CO3	GO:0004129; GO:0005743; GO:0016021; GO:0019646; GO:0045277
O08688	O08688	Capn5	GO:0004198; GO:0005737; GO:0006508; GO:0009986; GO:0045202
O09061	O09061	Psmb1	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005839; GO:0010498; GO:0019774
O13019	O13019	rps12	GO:0003735; GO:0005840; GO:0006412; GO:1990904
O15989	O15989		GO:0004054; GO:0004111; GO:0005524; GO:0016310; GO:0046314
O18373	O18373	SelD	GO:0005524; GO:0005737; GO:0007049; GO:0010637; GO:0016301; GO:0016310; GO:2000378
O34918	O34918	yoaJ	GO:0005576
O35156	O35156	UGP2	GO:0003983; GO:0005737; GO:0005978; GO:0006011; GO:0007420; GO:0042802; GO:0046872
O35900	O35900	Lsm2	GO:0000244; GO:0000398; GO:0000932; GO:0003723; GO:0005634; GO:0005654; GO:0005688; GO:0005737; GO:0006402; GO:0019901; GO:0031267; GO:0046540; GO:0071005; GO:0071011; GO:0071013; GO:0120115; GO:1990726
O43422	O43422	THAP12	GO:0003677; GO:0005634; GO:0007165; GO:0008285; GO:0046872; GO:0046983
O43504	O43504	LAMTOR5	GO:0005764; GO:0005765; GO:0005829; GO:0008361; GO:0009615; GO:0010628; GO:0019079; GO:0031902; GO:0032008; GO:0032757; GO:0032991; GO:0038202; GO:0043123; GO:0043154; GO:0051092; GO:0061462; GO:0071230; GO:0071986; GO:1900182; GO:1904263; GO:1905636
O43818	O43818	RRP9	GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0030515; GO:0031428; GO:0032040; GO:0034511
O43837	O43837	IDH3B	GO:0000287; GO:0004449; GO:0005634; GO:0005739; GO:0005759; GO:0005962; GO:0006099; GO:0006102; GO:0006103; GO:0006734; GO:0009055; GO:0051287
O44081	O44081	Nop60B	GO:0000495; GO:0001522; GO:0003723; GO:0005730; GO:0006364; GO:0007281; GO:0009982; GO:0031118; GO:0031120; GO:0031429; GO:0035220; GO:0042254; GO:1990481
O47479	O47479	ND1	GO:0005743; GO:0008137; GO:0016021; GO:0070469
O54734	O54734	Ddost	GO:0005783; GO:0005789; GO:0006486; GO:0006487; GO:0008047; GO:0008250; GO:0016021; GO:0018279; GO:0031647; GO:0034097; GO:0042110; GO:0043231
O54749	O54749	Cyp2j5	GO:0001990; GO:0001998; GO:0005506; GO:0005737; GO:0005789; GO:0006082; GO:0006690; GO:0006805; GO:0008392; GO:0008395; GO:0008404; GO:0008405; GO:0016712; GO:0016853; GO:0019373; GO:0020037; GO:0043231; GO:0043651; GO:0070330; GO:0071614; GO:0097254; GO:2000863
O54922	O54922	Exoc7	GO:0000145; GO:0005546; GO:0005815; GO:0005829; GO:0006887; GO:0015031; GO:0032584; GO:0034451; GO:0090543; GO:2000535
O57592	O57592	rpl7a	GO:0005840; GO:0042254; GO:1990904
O59922	O59922	pkaR	GO:0004862; GO:0005634; GO:0005737; GO:0005952; GO:0030552; GO:0034236; GO:2000480
O60218	O60218	AKR1B10	GO:0001523; GO:0001758; GO:0004032; GO:0004033; GO:0005576; GO:0005739; GO:0005764; GO:0005829; GO:0008106; GO:0016488; GO:0044597; GO:0044598; GO:0045550; GO:0047655; GO:0047718; GO:0052650; GO:0110095
O60502	O60502	OGA	GO:0004415; GO:0005634; GO:0005829; GO:0006044; GO:0006493; GO:0006516; GO:0006517; GO:0009100; GO:0016020; GO:0016231; GO:0102166; GO:0102167; GO:0102571
O60911	O60911	CTSV	GO:0004197; GO:0004252; GO:0005576; GO:0005615; GO:0005764; GO:0006955; GO:0008234; GO:0019886; GO:0022617; GO:0043202; GO:0051603
O61231	O61231	RpL10	GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0043025
O70496	O70496	Clcn7	GO:0005247; GO:0005524; GO:0005765; GO:0009268; GO:0015108; GO:0015297; GO:0030321; GO:0031410; GO:0034707; GO:0043231
O73823	O73823	tal1	GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0030097; GO:0030218; GO:0046983
O75096	O75096	LRP4	GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016021; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395
O75369	O75369	FLNB	GO:0001725; GO:0003334; GO:0003382; GO:0003723; GO:0003779; GO:0005737; GO:0005829; GO:0005886; GO:0005903; GO:0005925; GO:0005938; GO:0007165; GO:0007519; GO:0015629; GO:0016021; GO:0030018; GO:0030036; GO:0042802; GO:0045296; GO:0045335; GO:0051015; GO:0070062; GO:0071346
O75897	O75897	SULT1C4	GO:0004062; GO:0005737; GO:0005829; GO:0006068; GO:0006805; GO:0008146; GO:0009812; GO:0044598; GO:0050427; GO:0051923
O76217	O76217	Aper1	GO:0005576; GO:0008061
O77788	O77788	NEFM	GO:0005198; GO:0005883; GO:0030424; GO:0033693
O79413	O79413	mt-cyb	GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872
O79676	O79676	MT-CO3	GO:0004129; GO:0005743; GO:0016021; GO:0019646; GO:0045277
O88307	O88307	Sorl1	GO:0000139; GO:0001540; GO:0002024; GO:0004888; GO:0005615; GO:0005641; GO:0005768; GO:0005769; GO:0005771; GO:0005783; GO:0005789; GO:0005794; GO:0005802; GO:0005886; GO:0006605; GO:0006622; GO:0006892; GO:0006898; GO:0007218; GO:0008283; GO:0009986; GO:0010897; GO:0014910; GO:0016020; GO:0016021; GO:0016477; GO:0030169; GO:0030514; GO:0030658; GO:0031267; GO:0031333; GO:0031901; GO:0031985; GO:0032091; GO:0032585; GO:0034067; GO:0038020; GO:0042923; GO:0043025; GO:0043407; GO:0045053; GO:0045732; GO:0046628; GO:0048471; GO:0050768; GO:0051604; GO:0055037; GO:0055038; GO:0070863; GO:0097356; GO:1900168; GO:1901215; GO:1902430; GO:1902771; GO:1902948; GO:1902953; GO:1902955; GO:1902960; GO:1902963; GO:1902966; GO:1902997; GO:1904179; GO:1990845; GO:2001137
O88828	O88828	Polr2f	GO:0001650; GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006366; GO:0006383
O94690	O94690		GO:0003735; GO:0005739; GO:0005762; GO:0032543; GO:0042254
O95405	O95405	ZFYVE9	GO:0005545; GO:0005769; GO:0005829; GO:0006897; GO:0007179; GO:0016197; GO:0019904; GO:0031901; GO:0032991; GO:0043231; GO:0046872
O95478	O95478	NSA2	GO:0000460; GO:0000470; GO:0003723; GO:0005730; GO:0030687
O95602	O95602	POLR1A	GO:0001054; GO:0003677; GO:0003682; GO:0005654; GO:0005694; GO:0005736; GO:0008270; GO:1904750
O95671	O95671	ASMTL	GO:0005829; GO:0008171; GO:0009117; GO:0032259; GO:0036218; GO:0036221; GO:0047429
O95741	O95741	CPNE6	GO:0001786; GO:0005509; GO:0005544; GO:0005768; GO:0005886; GO:0016020; GO:0030136; GO:0030154; GO:0030424; GO:0030425; GO:0043204; GO:0070062; GO:0071277; GO:1903861
O96064	O96064		GO:0016459; GO:0030016; GO:0032982
O96185	O96185		GO:0005730
O96647	O96647	RpL10	GO:0003735; GO:0005840; GO:0006412; GO:1990904
O97556	O97556	GDI2	GO:0005093; GO:0005096; GO:0005737; GO:0007264; GO:0015031; GO:0016020; GO:0016192; GO:1902018; GO:1903565
O97758	O97758	TJP1	GO:0005516; GO:0005886; GO:0005911; GO:0005921; GO:0005923; GO:0009986; GO:0031410; GO:0045216; GO:0050839; GO:0070160; GO:0070830; GO:0071277; GO:0090557; GO:0098609; GO:0150105; GO:1905605
P00125	P00125	CYC1	GO:0005739; GO:0005743; GO:0005750; GO:0006122; GO:0008121; GO:0020037; GO:0046872
P00377	P00377	DHFR	GO:0003729; GO:0004146; GO:0005737; GO:0005739; GO:0006545; GO:0006730; GO:0031427; GO:0046653; GO:0046654; GO:0050661
P00409	P00409	mt:CoII	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0070469
P00568	P00568	AK1	GO:0001520; GO:0004017; GO:0004550; GO:0005524; GO:0005737; GO:0005829; GO:0006165; GO:0006172; GO:0009142; GO:0015949; GO:0046033; GO:0046034; GO:0070062
P00639	P00639	DNASE1	GO:0000737; GO:0002283; GO:0002673; GO:0003677; GO:0003779; GO:0004530; GO:0005576; GO:0005634; GO:0005635; GO:0006308; GO:0006915; GO:0042588; GO:0070948
P01053	P01053		GO:0004867; GO:0009611
P01122	P01122	RHO	GO:0003924; GO:0005525; GO:0005886; GO:0007264
P02272	P02272	H2AZ2	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
P02284	P02284		GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0044877; GO:0046982
P02350	P02350	rps3-a	GO:0003677; GO:0003723; GO:0003735; GO:0005730; GO:0005743; GO:0005819; GO:0006281; GO:0006412; GO:0006417; GO:0006915; GO:0007049; GO:0015935; GO:0051301; GO:0140078
P02469	P02469	Lamb1	GO:0005178; GO:0005201; GO:0005576; GO:0005604; GO:0005606; GO:0005607; GO:0005615; GO:0005634; GO:0007162; GO:0007566; GO:0007611; GO:0009887; GO:0009888; GO:0016477; GO:0019899; GO:0021812; GO:0030335; GO:0031012; GO:0031175; GO:0034446; GO:0042476; GO:0043208; GO:0043256; GO:0043257; GO:0043259; GO:0045785; GO:0048471; GO:0051149; GO:0062023; GO:0070831; GO:0098637; GO:0110011; GO:2001046
P02552	P02552		GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874
P02553	P02553		GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P02556	P02556		GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
P02588	P02588	TNNC2	GO:0003009; GO:0005509; GO:0005861; GO:0006937; GO:0048306; GO:0051015
P03934	P03934	tc1a	GO:0003677; GO:0004519; GO:0005634; GO:0006313; GO:0015074
P04323	P04323	pol	GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575
P05166	P05166	PCCB	GO:0004658; GO:0005524; GO:0005739; GO:0005759; GO:0005829; GO:0006631; GO:0009081; GO:0019626; GO:1902494
P05180	P05180	CYP2H1	GO:0005506; GO:0005737; GO:0005789; GO:0006082; GO:0006805; GO:0008392; GO:0008395; GO:0009410; GO:0016712; GO:0019373; GO:0020037; GO:0043231; GO:0070330
P05202	P05202	Got2	GO:0004069; GO:0005543; GO:0005739; GO:0005743; GO:0005759; GO:0005886; GO:0006103; GO:0006107; GO:0006520; GO:0006531; GO:0006532; GO:0006533; GO:0006536; GO:0009986; GO:0015908; GO:0016212; GO:0016597; GO:0019550; GO:0019551; GO:0019899; GO:0030170; GO:0030315; GO:0031406; GO:0032991; GO:0042383; GO:0042802; GO:0043204; GO:0043209; GO:0043648; GO:0045471
P05370	P05370	G6pdx	GO:0001998; GO:0002033; GO:0004345; GO:0005536; GO:0005634; GO:0005829; GO:0006006; GO:0006098; GO:0006695; GO:0006739; GO:0006740; GO:0006741; GO:0006749; GO:0006979; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0019322; GO:0030246; GO:0032094; GO:0034451; GO:0034599; GO:0040014; GO:0042802; GO:0042803; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0048821; GO:0050661; GO:0051156; GO:0061052; GO:1904879; GO:2000378
P06603	P06603	alphaTub84B	GO:0000226; GO:0000235; GO:0000278; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0032418; GO:0048471
P06605	P06605	alphaTub84D	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007283; GO:0007288; GO:0017022; GO:0048471
P07291	P07291		GO:0005509; GO:0016459
P07926	P07926	ATP5MC2	GO:0000276; GO:0005753; GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0045263
P08052	P08052		GO:0005509; GO:0016459
P08183	P08183	ABCB1	GO:0000086; GO:0005524; GO:0005654; GO:0005886; GO:0006805; GO:0008559; GO:0009410; GO:0009986; GO:0015562; GO:0016020; GO:0016021; GO:0016324; GO:0022857; GO:0031625; GO:0042626; GO:0042910; GO:0045332; GO:0046865; GO:0046943; GO:0047484; GO:0055085; GO:0070062; GO:0070633; GO:0072089; GO:0090554; GO:0090555; GO:0098591; GO:0099038; GO:0099040; GO:0140115; GO:0140328; GO:0150104; GO:1901529; GO:1905039; GO:1990961; GO:1990962; GO:2001225
P08472	P08472		GO:0005886; GO:0031225
P08548	P08548		GO:0003964; GO:0046872
P08636	P08636	RPS17	GO:0003735; GO:0005840; GO:0006412; GO:1990904
P08906	P08906	GOT1	GO:0004069; GO:0005829; GO:0006114; GO:0006532; GO:0030170; GO:0047801
P0C6B8	P0C6B8	Svep1	GO:0001945; GO:0003017; GO:0003682; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0007155; GO:0008544; GO:0010467; GO:0016020; GO:0031012; GO:0036303; GO:0048014; GO:0120193
